kl,recons
30.2493839263916,275658.125
5.606131076812744,272172.71875
1.9966161251068115,271566.5625
1.4139045476913452,270549.9375
0.9263651371002197,271569.21875
0.678615391254425,272102.59375
0.6085873246192932,272010.0625
0.42040368914604187,271384.3125
0.28866854310035706,273710.09375
0.2683713734149933,270874.15625
0.38557350635528564,269294.375
0.667407214641571,271401.90625
0.9116828441619873,273274.46875
1.2599778175354004,268149.1875
1.8711239099502563,269618.6875
3.086554527282715,266509.125
5.446493148803711,263263.59375
9.202007293701172,264913.03125
15.412774085998535,262490.96875
23.494625091552734,253188.609375
34.09867477416992,250197.015625
49.079124450683594,242539.984375
68.62108612060547,230789.15625
92.69969177246094,221267.65625
119.55654907226562,211057.671875
144.70889282226562,194876.015625
173.20132446289062,178644.40625
202.26316833496094,155574.109375
243.8682098388672,137588.546875
265.0427551269531,116085.140625
265.9773254394531,99118.671875
256.3288879394531,84351.09375
246.634765625,70634.0859375
239.22352600097656,59187.640625
226.37161254882812,48133.9609375
195.96913146972656,40396.22265625
160.9095916748047,39046.02734375
141.27488708496094,35518.984375
120.87161254882812,32628.4453125
100.28290557861328,32429.48828125
87.15884399414062,30828.29296875
71.30403137207031,30988.78125
67.0716781616211,28735.875
53.366512298583984,28191.345703125
44.71120071411133,29107.58203125
47.34800720214844,27135.494140625
40.595035552978516,26796.623046875
30.43575668334961,29773.6484375
31.00130844116211,27476.34375
31.039365768432617,26626.064453125
26.243459701538086,26046.779296875
24.706148147583008,28027.154296875
23.095020294189453,26392.3203125
21.941055297851562,26281.791015625
21.545513153076172,25660.392578125
20.007061004638672,26537.130859375
17.88331413269043,25381.048828125
17.815582275390625,25388.958984375
19.431838989257812,26340.150390625
18.19178581237793,25910.73046875
13.731707572937012,28648.201171875
16.068653106689453,27063.2734375
17.9332332611084,28653.7421875
14.54608154296875,27484.462890625
13.362711906433105,27116.685546875
16.288145065307617,25941.025390625
16.074739456176758,26443.38671875
15.342241287231445,25153.126953125
13.876601219177246,26210.23828125
14.222840309143066,26081.86328125
16.43072509765625,26257.23828125
15.462920188903809,24734.23046875
15.849405288696289,25075.9921875
15.345243453979492,25609.28125
15.095709800720215,25968.28515625
17.203954696655273,23709.541015625
