"total_size","draw","method","accuracy","auc"
50,8,"KNN",0.66,0
50,8,"RF",0.92,0.936
50,8,"XGB",0.84,0.928
50,9,"LOGIS",0.94,0.992
50,9,"SVM",0.88,0.952
50,9,"KNN",0.46,0
50,9,"RF",0.9,0.98
50,9,"XGB",0.88,0.936
50,10,"LOGIS",0.98,0.968
50,10,"SVM",0.96,0.968
50,10,"KNN",0.66,0
50,10,"RF",0.9,0.936
50,10,"XGB",0.86,0.96
50,11,"LOGIS",1,1
50,11,"SVM",0.94,1
50,11,"KNN",0.66,0
50,11,"RF",0.98,1
50,11,"XGB",0.92,0.976
50,12,"LOGIS",1,1
50,12,"SVM",0.98,0.992
50,12,"KNN",0.78,0
50,12,"RF",0.98,0.988
50,12,"XGB",0.94,0.992
50,13,"LOGIS",0.96,0.96
50,13,"SVM",0.92,0.984
50,13,"KNN",0.66,0
50,13,"RF",0.94,0.948
50,13,"XGB",0.76,0.872
50,14,"LOGIS",0.9,0.928
50,14,"SVM",0.9,0.944
50,14,"KNN",0.74,0
50,14,"RF",0.9,0.952
50,14,"XGB",0.84,0.928
50,15,"LOGIS",0.94,0.984
50,15,"SVM",0.96,0.976
50,15,"KNN",0.76,0
50,15,"RF",0.9,0.96
50,15,"XGB",0.88,0.968
50,16,"LOGIS",0.94,0.984
50,16,"SVM",0.96,1
50,16,"KNN",0.68,0
50,16,"RF",0.92,0.976
50,16,"XGB",0.9,0.976
50,17,"LOGIS",1,1
50,17,"SVM",0.96,0.984
50,17,"KNN",0.78,0
50,17,"RF",0.92,0.996
50,17,"XGB",0.94,0.98
50,18,"LOGIS",0.96,1
50,18,"SVM",0.92,1
50,18,"KNN",0.6,0
50,18,"RF",0.94,1
50,18,"XGB",0.9,0.968
50,19,"LOGIS",0.96,0.976
50,19,"SVM",0.92,0.992
50,19,"KNN",0.7,0
50,19,"RF",0.96,0.984
50,19,"XGB",0.98,1
50,20,"LOGIS",0.94,0.952
50,20,"SVM",0.94,0.984
50,20,"KNN",0.72,0
50,20,"RF",0.84,0.96
50,20,"XGB",0.92,0.968
70,1,"LOGIS",1,1
70,1,"SVM",0.942857142857143,1
70,1,"KNN",0.814285714285714,0
70,1,"RF",0.971428571428571,0.995918367346939
70,1,"XGB",0.957142857142857,0.983673469387755
70,2,"LOGIS",0.985714285714286,0.987755102040816
70,2,"SVM",0.985714285714286,0.991836734693878
70,2,"KNN",0.8,0
70,2,"RF",0.985714285714286,1
70,2,"XGB",0.914285714285714,0.96734693877551
70,3,"LOGIS",0.957142857142857,0.942857142857143
70,3,"SVM",0.971428571428571,0.987755102040816
70,3,"KNN",0.814285714285714,0
70,3,"RF",0.942857142857143,0.995918367346939
70,3,"XGB",0.942857142857143,0.975510204081633
70,4,"LOGIS",0.957142857142857,0.991836734693878
70,4,"SVM",0.957142857142857,1
70,4,"KNN",0.7,0
70,4,"RF",0.942857142857143,0.995918367346939
70,4,"XGB",0.942857142857143,0.991836734693878
70,5,"LOGIS",0.985714285714286,1
70,5,"SVM",0.957142857142857,0.995918367346939
70,5,"KNN",0.8,0
70,5,"RF",0.957142857142857,0.995918367346939
70,5,"XGB",0.928571428571429,0.985714285714286
70,6,"LOGIS",0.985714285714286,1
70,6,"SVM",0.957142857142857,0.991836734693878
70,6,"KNN",0.857142857142857,0
70,6,"RF",0.971428571428571,1
70,6,"XGB",0.942857142857143,0.991836734693878
70,7,"LOGIS",0.971428571428571,0.987755102040816
70,7,"SVM",0.985714285714286,0.995918367346939
70,7,"KNN",0.742857142857143,0
70,7,"RF",0.971428571428571,1
70,7,"XGB",0.971428571428571,0.987755102040816
70,8,"LOGIS",0.957142857142857,0.971428571428571
70,8,"SVM",0.957142857142857,1
70,8,"KNN",0.7,0
70,8,"RF",0.928571428571429,0.989795918367347
70,8,"XGB",0.928571428571429,0.975510204081633
70,9,"LOGIS",0.971428571428571,0.987755102040816
70,9,"SVM",0.942857142857143,0.991836734693878
70,9,"KNN",0.857142857142857,0
70,9,"RF",0.985714285714286,1
70,9,"XGB",0.971428571428571,0.995918367346939
70,10,"LOGIS",0.957142857142857,0.96734693877551
70,10,"SVM",0.942857142857143,1
70,10,"KNN",0.842857142857143,0
70,10,"RF",0.928571428571429,0.96734693877551
70,10,"XGB",0.928571428571429,0.959183673469388
70,11,"LOGIS",0.957142857142857,0.991836734693878
70,11,"SVM",0.942857142857143,0.995918367346939
70,11,"KNN",0.8,0
70,11,"RF",0.971428571428571,0.977551020408163
70,11,"XGB",0.957142857142857,0.991836734693878
70,12,"LOGIS",0.971428571428571,0.991836734693878
70,12,"SVM",0.928571428571429,0.979591836734694
70,12,"KNN",0.757142857142857,0
70,12,"RF",0.928571428571429,1
70,12,"XGB",0.9,0.963265306122449
70,13,"LOGIS",0.985714285714286,0.995918367346939
70,13,"SVM",0.957142857142857,1
70,13,"KNN",0.728571428571429,0
70,13,"RF",0.985714285714286,1
70,13,"XGB",0.971428571428571,0.995918367346939
70,14,"LOGIS",0.957142857142857,0.995918367346939
70,14,"SVM",0.971428571428571,1
70,14,"KNN",0.8,0
70,14,"RF",0.957142857142857,0.987755102040816
70,14,"XGB",0.971428571428571,0.975510204081633
70,15,"LOGIS",0.957142857142857,0.987755102040816
70,15,"SVM",0.942857142857143,0.979591836734694
70,15,"KNN",0.771428571428571,0
70,15,"RF",0.942857142857143,0.989795918367347
70,15,"XGB",0.971428571428571,0.995918367346939
70,16,"LOGIS",0.957142857142857,0.96734693877551
70,16,"SVM",0.957142857142857,0.991836734693878
70,16,"KNN",0.742857142857143,0
70,16,"RF",0.928571428571429,0.973469387755102
70,16,"XGB",0.914285714285714,0.955102040816327
70,17,"LOGIS",0.942857142857143,0.938775510204082
70,17,"SVM",0.957142857142857,0.987755102040816
70,17,"KNN",0.7,0
70,17,"RF",0.9,0.963265306122449
70,17,"XGB",0.914285714285714,0.951020408163265
70,18,"LOGIS",0.985714285714286,0.991836734693878
70,18,"SVM",0.871428571428571,0.987755102040816
70,18,"KNN",0.8,0
70,18,"RF",0.928571428571429,0.979591836734694
70,18,"XGB",0.957142857142857,0.991836734693878
70,19,"LOGIS",0.985714285714286,1
70,19,"SVM",0.957142857142857,1
70,19,"KNN",0.728571428571429,0
70,19,"RF",0.971428571428571,0.987755102040816
70,19,"XGB",0.942857142857143,0.979591836734694
70,20,"LOGIS",1,1
70,20,"SVM",1,1
70,20,"KNN",0.728571428571429,0
70,20,"RF",0.942857142857143,0.991836734693878
70,20,"XGB",0.928571428571429,0.987755102040816
90,1,"LOGIS",0.988888888888889,1
90,1,"SVM",0.977777777777778,1
90,1,"KNN",0.788888888888889,0
90,1,"RF",0.966666666666667,0.997530864197531
90,1,"XGB",0.955555555555555,0.992592592592593
90,2,"LOGIS",0.966666666666667,0.997530864197531
90,2,"SVM",0.944444444444444,0.980246913580247
90,2,"KNN",0.811111111111111,0
90,2,"RF",0.944444444444444,0.982716049382716
90,2,"XGB",0.955555555555556,0.982716049382716
90,3,"LOGIS",0.955555555555556,0.990123456790123
90,3,"SVM",0.944444444444444,0.990123456790123
90,3,"KNN",0.833333333333333,0
90,3,"RF",0.966666666666667,0.987654320987654
90,3,"XGB",0.944444444444444,0.977777777777778
90,4,"LOGIS",0.977777777777778,0.997530864197531
90,4,"SVM",0.944444444444444,0.997530864197531
90,4,"KNN",0.855555555555556,0
90,4,"RF",0.977777777777778,0.997530864197531
90,4,"XGB",0.933333333333333,0.997530864197531
90,5,"LOGIS",0.977777777777778,0.980246913580247
90,5,"SVM",0.966666666666667,0.997530864197531
90,5,"KNN",0.911111111111111,0
90,5,"RF",0.977777777777778,0.997530864197531
90,5,"XGB",0.955555555555555,0.979012345679012
90,6,"LOGIS",0.955555555555555,0.990123456790123
90,6,"SVM",0.966666666666667,0.997530864197531
90,6,"KNN",0.866666666666667,0
90,6,"RF",0.988888888888889,0.995061728395062
90,6,"XGB",0.955555555555556,0.992592592592593
90,7,"LOGIS",0.977777777777778,0.990123456790123
90,7,"SVM",0.944444444444444,0.997530864197531
90,7,"KNN",0.788888888888889,0
90,7,"RF",0.977777777777778,0.998765432098765
90,7,"XGB",0.944444444444444,1
90,8,"LOGIS",0.966666666666667,0.995061728395062
90,8,"SVM",0.977777777777778,1
90,8,"KNN",0.833333333333333,0
90,8,"RF",0.977777777777778,1
90,8,"XGB",0.933333333333333,0.990123456790123
90,9,"LOGIS",1,1
90,9,"SVM",0.977777777777778,0.995061728395062
90,9,"KNN",0.822222222222222,0
90,9,"RF",0.977777777777778,0.997530864197531
90,9,"XGB",0.977777777777778,0.992592592592593
90,10,"LOGIS",0.955555555555555,0.982716049382716
90,10,"SVM",0.922222222222222,0.997530864197531
90,10,"KNN",0.811111111111111,0
90,10,"RF",0.933333333333333,0.983950617283951
90,10,"XGB",0.955555555555555,0.987654320987654
90,11,"LOGIS",0.966666666666667,0.997530864197531
90,11,"SVM",0.977777777777778,0.995061728395062
90,11,"KNN",0.811111111111111,0
90,11,"RF",0.977777777777778,0.985185185185185
90,11,"XGB",0.933333333333333,0.982716049382716
90,12,"LOGIS",0.955555555555555,0.995061728395062
90,12,"SVM",0.922222222222222,0.990123456790123
90,12,"KNN",0.855555555555556,0
90,12,"RF",0.977777777777778,0.995061728395062
90,12,"XGB",0.977777777777778,1
90,13,"LOGIS",0.977777777777778,0.995061728395062
90,13,"SVM",0.966666666666667,0.997530864197531
90,13,"KNN",0.822222222222222,0
90,13,"RF",0.933333333333333,0.992592592592593
90,13,"XGB",0.955555555555556,0.995061728395062
90,14,"LOGIS",0.988888888888889,1
90,14,"SVM",0.966666666666667,1
90,14,"KNN",0.877777777777778,0
90,14,"RF",1,1
90,14,"XGB",0.988888888888889,0.992592592592593
90,15,"LOGIS",0.977777777777778,0.990123456790123
90,15,"SVM",0.988888888888889,0.995061728395062
90,15,"KNN",0.866666666666667,0
90,15,"RF",0.966666666666667,0.992592592592593
90,15,"XGB",0.966666666666667,0.992592592592593
90,16,"LOGIS",0.966666666666667,0.987654320987654
90,16,"SVM",0.944444444444444,0.995061728395062
90,16,"KNN",0.811111111111111,0
90,16,"RF",0.944444444444444,0.98641975308642
90,16,"XGB",0.944444444444444,0.990123456790123
90,17,"LOGIS",0.988888888888889,1
90,17,"SVM",0.966666666666667,0.995061728395062
90,17,"KNN",0.955555555555556,0
90,17,"RF",0.966666666666667,0.997530864197531
90,17,"XGB",0.977777777777778,1
90,18,"LOGIS",0.944444444444444,0.990123456790123
90,18,"SVM",0.955555555555555,0.990123456790123
90,18,"KNN",0.811111111111111,0
90,18,"RF",0.944444444444444,0.992592592592593
90,18,"XGB",0.911111111111111,0.990123456790123
90,19,"LOGIS",0.988888888888889,1
90,19,"SVM",0.977777777777778,1
90,19,"KNN",0.833333333333333,0
90,19,"RF",0.977777777777778,1
90,19,"XGB",0.988888888888889,1
90,20,"LOGIS",0.955555555555556,0.995061728395062
90,20,"SVM",0.977777777777778,1
90,20,"KNN",0.833333333333333,0
90,20,"RF",0.988888888888889,1
90,20,"XGB",0.977777777777778,0.992592592592593
110,1,"LOGIS",0.981818181818182,0.996694214876033
110,1,"SVM",0.981818181818182,0.998347107438017
110,1,"KNN",0.881818181818182,0
110,1,"RF",0.963636363636364,0.999173553719008
110,1,"XGB",0.954545454545455,0.998347107438017
110,2,"LOGIS",0.981818181818182,0.998347107438017
110,2,"SVM",0.963636363636364,0.993388429752066
110,2,"KNN",0.9,0
110,2,"RF",0.963636363636364,0.997520661157025
110,2,"XGB",0.972727272727273,0.998347107438017
110,3,"LOGIS",0.981818181818182,0.996694214876033
110,3,"SVM",0.963636363636364,1
110,3,"KNN",0.836363636363636,0
110,3,"RF",0.945454545454545,0.993388429752066
110,3,"XGB",0.927272727272727,0.985123966942149
110,4,"LOGIS",0.990909090909091,1
110,4,"SVM",0.972727272727273,0.998347107438017
110,4,"KNN",0.927272727272727,0
110,4,"RF",0.981818181818182,1
110,4,"XGB",0.963636363636364,0.99504132231405
110,5,"LOGIS",0.972727272727273,0.993388429752066
110,5,"SVM",0.981818181818182,0.998347107438017
110,5,"KNN",0.845454545454545,0
110,5,"RF",0.981818181818182,1
110,5,"XGB",0.936363636363636,0.990082644628099
110,6,"LOGIS",0.990909090909091,1
110,6,"SVM",0.963636363636364,0.991735537190083
110,6,"KNN",0.9,0
110,6,"RF",0.990909090909091,1
110,6,"XGB",0.981818181818182,1
110,7,"LOGIS",0.972727272727273,1
110,7,"SVM",0.963636363636364,0.99504132231405
110,7,"KNN",0.881818181818182,0
110,7,"RF",0.972727272727273,0.991735537190083
110,7,"XGB",0.954545454545455,0.994214876033058
110,8,"LOGIS",0.927272727272727,0.981818181818182
110,8,"SVM",0.936363636363636,0.991735537190083
110,8,"KNN",0.827272727272727,0
110,8,"RF",0.9,0.990082644628099
110,8,"XGB",0.927272727272727,0.993388429752066
110,9,"LOGIS",0.972727272727273,1
110,9,"SVM",0.981818181818182,1
110,9,"KNN",0.890909090909091,0
110,9,"RF",0.990909090909091,1
110,9,"XGB",0.954545454545455,0.991735537190083
110,10,"LOGIS",0.963636363636364,0.973553719008264
110,10,"SVM",0.990909090909091,0.996694214876033
110,10,"KNN",0.863636363636364,0
110,10,"RF",0.954545454545455,0.996694214876033
110,10,"XGB",0.936363636363636,0.981818181818182
110,11,"LOGIS",0.972727272727273,0.996694214876033
110,11,"SVM",0.954545454545455,0.99504132231405
110,11,"KNN",0.854545454545455,0
110,11,"RF",0.963636363636364,0.99504132231405
110,11,"XGB",0.972727272727273,0.996694214876033
110,12,"LOGIS",0.981818181818182,0.985123966942149
110,12,"SVM",0.972727272727273,0.996694214876033
110,12,"KNN",0.872727272727273,0
110,12,"RF",0.972727272727273,0.995867768595041
110,12,"XGB",0.936363636363636,0.991735537190083
110,13,"LOGIS",1,1
110,13,"SVM",0.981818181818182,1
110,13,"KNN",0.9,0
110,13,"RF",1,1
110,13,"XGB",0.945454545454545,0.989256198347107
110,14,"LOGIS",0.963636363636364,0.990082644628099
110,14,"SVM",0.963636363636364,0.99504132231405
110,14,"KNN",0.872727272727273,0
110,14,"RF",0.963636363636364,0.99504132231405
110,14,"XGB",0.954545454545455,0.994214876033058
110,15,"LOGIS",0.981818181818182,1
110,15,"SVM",0.963636363636364,0.996694214876033
110,15,"KNN",0.836363636363636,0
110,15,"RF",0.972727272727273,0.996694214876033
110,15,"XGB",0.972727272727273,0.996694214876033
110,16,"LOGIS",1,1
110,16,"SVM",0.936363636363636,0.99504132231405
110,16,"KNN",0.881818181818182,0
110,16,"RF",0.954545454545455,1
110,16,"XGB",0.990909090909091,1
110,17,"LOGIS",0.963636363636364,0.985123966942149
110,17,"SVM",0.963636363636364,0.991735537190083
110,17,"KNN",0.863636363636364,0
110,17,"RF",0.972727272727273,0.998347107438017
110,17,"XGB",0.963636363636364,0.99504132231405
110,18,"LOGIS",1,1
110,18,"SVM",0.990909090909091,1
110,18,"KNN",0.918181818181818,0
110,18,"RF",0.990909090909091,1
110,18,"XGB",0.981818181818182,0.996694214876033
110,19,"LOGIS",0.972727272727273,0.998347107438017
110,19,"SVM",0.972727272727273,0.998347107438017
110,19,"KNN",0.881818181818182,0
110,19,"RF",0.981818181818182,1
110,19,"XGB",0.972727272727273,0.998347107438016
110,20,"LOGIS",0.990909090909091,1
110,20,"SVM",0.972727272727273,0.996694214876033
110,20,"KNN",0.854545454545454,0
110,20,"RF",0.990909090909091,1
110,20,"XGB",0.990909090909091,1
130,1,"LOGIS",0.984615384615385,0.995266272189349
130,1,"SVM",0.992307692307692,1
130,1,"KNN",0.9,0
130,1,"RF",1,1
130,1,"XGB",0.984615384615385,1
130,2,"LOGIS",0.976923076923077,0.992899408284024
130,2,"SVM",0.976923076923077,0.996449704142012
130,2,"KNN",0.876923076923077,0
130,2,"RF",0.961538461538462,0.996449704142012
130,2,"XGB",0.984615384615385,1
130,3,"LOGIS",0.984615384615385,1
130,3,"SVM",0.953846153846154,0.996449704142012
130,3,"KNN",0.9,0
130,3,"RF",0.969230769230769,0.997041420118343
130,3,"XGB",0.976923076923077,1
130,4,"LOGIS",0.961538461538462,0.983431952662722
130,4,"SVM",0.930769230769231,0.981065088757396
130,4,"KNN",0.8,0
130,4,"RF",0.946153846153846,0.98698224852071
130,4,"XGB",0.946153846153846,0.989349112426036
130,5,"LOGIS",0.992307692307692,0.995266272189349
130,5,"SVM",0.976923076923077,1
130,5,"KNN",0.915384615384615,0
130,5,"RF",0.976923076923077,0.998816568047337
130,5,"XGB",0.961538461538462,0.992899408284024
130,6,"LOGIS",0.984615384615385,1
130,6,"SVM",0.976923076923077,0.998816568047337
130,6,"KNN",0.938461538461538,0
130,6,"RF",0.976923076923077,0.997633136094675
130,6,"XGB",0.961538461538462,0.997041420118343
130,7,"LOGIS",0.969230769230769,0.996449704142012
130,7,"SVM",0.969230769230769,0.992899408284024
130,7,"KNN",0.838461538461538,0
130,7,"RF",0.930769230769231,0.996449704142012
130,7,"XGB",0.953846153846154,0.995266272189349
130,8,"LOGIS",0.984615384615385,0.995266272189349
130,8,"SVM",0.984615384615385,0.998816568047337
130,8,"KNN",0.915384615384615,0
130,8,"RF",0.984615384615385,0.998816568047337
130,8,"XGB",1,1
130,9,"LOGIS",0.992307692307692,1
130,9,"SVM",0.976923076923077,0.997633136094675
130,9,"KNN",0.946153846153846,0
130,9,"RF",0.976923076923077,0.997633136094675
130,9,"XGB",0.992307692307692,1
130,10,"LOGIS",0.961538461538462,0.985798816568047
130,10,"SVM",0.946153846153846,0.982248520710059
130,10,"KNN",0.830769230769231,0
130,10,"RF",0.915384615384615,0.96508875739645
130,10,"XGB",0.961538461538462,0.985798816568047
130,11,"LOGIS",0.976923076923077,0.997633136094675
130,11,"SVM",0.969230769230769,0.988165680473373
130,11,"KNN",0.892307692307692,0
130,11,"RF",0.969230769230769,0.996449704142012
130,11,"XGB",0.946153846153846,0.991715976331361
130,12,"LOGIS",1,1
130,12,"SVM",0.984615384615385,0.998816568047337
130,12,"KNN",0.892307692307692,0
130,12,"RF",1,1
130,12,"XGB",0.969230769230769,0.996449704142012
130,13,"LOGIS",0.984615384615385,0.98698224852071
130,13,"SVM",0.969230769230769,0.995266272189349
130,13,"KNN",0.853846153846154,0
130,13,"RF",0.946153846153846,0.994674556213018
130,13,"XGB",0.946153846153846,0.990532544378698
130,14,"LOGIS",0.961538461538462,0.982248520710059
130,14,"SVM",0.961538461538462,0.995266272189349
130,14,"KNN",0.892307692307692,0
130,14,"RF",0.976923076923077,0.996449704142012
130,14,"XGB",0.976923076923077,1
130,15,"LOGIS",1,1
130,15,"SVM",0.969230769230769,0.998816568047337
130,15,"KNN",0.915384615384615,0
130,15,"RF",1,1
130,15,"XGB",0.969230769230769,0.997041420118343
130,16,"LOGIS",0.976923076923077,0.998816568047337
130,16,"SVM",0.969230769230769,0.994082840236686
130,16,"KNN",0.761538461538461,0
130,16,"RF",0.984615384615385,0.994082840236686
130,16,"XGB",0.969230769230769,0.998816568047337
130,17,"LOGIS",0.984615384615385,0.989349112426036
130,17,"SVM",0.969230769230769,0.998816568047337
130,17,"KNN",0.876923076923077,0
130,17,"RF",0.984615384615385,0.998224852071006
130,17,"XGB",0.961538461538462,0.996449704142012
130,18,"LOGIS",0.961538461538462,0.996449704142012
130,18,"SVM",0.969230769230769,0.998816568047337
130,18,"KNN",0.884615384615385,0
130,18,"RF",0.976923076923077,0.997041420118343
130,18,"XGB",0.992307692307692,1
130,19,"LOGIS",0.984615384615385,0.998816568047337
130,19,"SVM",0.992307692307692,1
130,19,"KNN",0.9,0
130,19,"RF",1,1
130,19,"XGB",1,1
130,20,"LOGIS",0.992307692307692,0.998816568047337
130,20,"SVM",0.984615384615385,0.998816568047337
130,20,"KNN",0.892307692307692,0
130,20,"RF",0.984615384615385,1
130,20,"XGB",0.969230769230769,0.998816568047337
150,1,"LOGIS",0.986666666666667,0.999111111111111
150,1,"SVM",0.973333333333333,0.998222222222222
150,1,"KNN",0.92,0
150,1,"RF",0.98,0.999111111111111
150,1,"XGB",0.946666666666667,0.998222222222222
150,2,"LOGIS",0.98,1
150,2,"SVM",0.986666666666667,1
150,2,"KNN",0.946666666666667,0
150,2,"RF",0.98,1
150,2,"XGB",0.966666666666667,0.998222222222222
150,3,"LOGIS",0.986666666666667,0.998222222222222
150,3,"SVM",0.973333333333333,0.999111111111111
150,3,"KNN",0.86,0
150,3,"RF",0.973333333333333,0.998666666666667
150,3,"XGB",1,1
150,4,"LOGIS",0.973333333333333,1
150,4,"SVM",0.986666666666667,0.997333333333333
150,4,"KNN",0.94,0
150,4,"RF",0.98,0.995555555555556
150,4,"XGB",0.966666666666667,0.994666666666667
150,5,"LOGIS",0.98,1
150,5,"SVM",0.986666666666667,1
150,5,"KNN",0.926666666666667,0
150,5,"RF",0.986666666666667,0.998222222222222
150,5,"XGB",0.986666666666667,0.999111111111111
150,6,"LOGIS",0.966666666666667,0.999111111111111
150,6,"SVM",0.96,0.997333333333333
150,6,"KNN",0.94,0
150,6,"RF",0.98,0.998222222222222
150,6,"XGB",0.986666666666667,1
150,7,"LOGIS",0.986666666666667,0.991111111111111
150,7,"SVM",0.98,0.996444444444444
150,7,"KNN",0.946666666666667,0
150,7,"RF",0.98,0.996888888888889
150,7,"XGB",0.966666666666667,0.996444444444444
150,8,"LOGIS",0.966666666666667,0.984
150,8,"SVM",0.966666666666667,1
150,8,"KNN",0.953333333333333,0
150,8,"RF",0.986666666666667,1
150,8,"XGB",0.993333333333333,1
150,9,"LOGIS",0.973333333333333,0.992
150,9,"SVM",0.966666666666667,0.998222222222222
150,9,"KNN",0.926666666666667,0
150,9,"RF",0.98,0.995555555555556
150,9,"XGB",0.96,0.997333333333333
150,10,"LOGIS",0.986666666666667,0.997333333333333
150,10,"SVM",0.966666666666667,0.999111111111111
150,10,"KNN",0.926666666666667,0
150,10,"RF",0.98,0.998222222222222
150,10,"XGB",0.953333333333333,0.999111111111111
150,11,"LOGIS",0.966666666666667,0.997333333333333
150,11,"SVM",0.96,0.996444444444444
150,11,"KNN",0.946666666666667,0
150,11,"RF",0.966666666666667,0.997333333333333
150,11,"XGB",0.986666666666667,0.999111111111111
150,12,"LOGIS",0.973333333333333,0.996444444444444
150,12,"SVM",0.966666666666667,1
