"total_size","draw","method","accuracy","auc"
20,19,"SVM",0.65,0.8
20,19,"KNN",0.45,0
20,19,"RF",0.65,0.85
20,19,"XGB",0.75,0.85
20,20,"LOGIS",0.35,0.45
20,20,"SVM",0.55,0.55
20,20,"KNN",0.65,0
20,20,"RF",0.4,0.475
20,20,"XGB",0.75,0.8
20,21,"LOGIS",0.85,0.8
20,21,"SVM",0.85,0.8
20,21,"KNN",0.6,0
20,21,"RF",0.75,0.75
20,21,"XGB",0.55,0.55
20,22,"LOGIS",0.7,0.8
20,22,"SVM",0.3,0.3
20,22,"KNN",0.5,0
20,22,"RF",0.75,0.85
20,22,"XGB",0.4,0.35
20,23,"LOGIS",0.8,0.75
20,23,"SVM",0.3,0.2
20,23,"KNN",0.45,0
20,23,"RF",0.7,0.8
20,23,"XGB",0.8,0.95
20,24,"LOGIS",0.8,0.8
20,24,"SVM",0.35,0.4
20,24,"KNN",0.55,0
20,24,"RF",0.7,0.75
20,24,"XGB",0.6,0.55
20,25,"LOGIS",0.8,0.85
20,25,"SVM",0.85,0.85
20,25,"KNN",0.5,0
20,25,"RF",0.75,0.8
20,25,"XGB",0.7,0.75
20,26,"LOGIS",0.6,0.75
20,26,"SVM",0.7,0.75
20,26,"KNN",0.55,0
20,26,"RF",0.75,0.8
20,26,"XGB",0.8,0.95
20,27,"LOGIS",0.85,0.9
20,27,"SVM",0.8,0.9
20,27,"KNN",0.35,0
20,27,"RF",0.8,0.95
20,27,"XGB",0.45,0.475
20,28,"LOGIS",0.65,0.7
20,28,"SVM",0.4,0.4
20,28,"KNN",0.65,0
20,28,"RF",0.55,0.525
20,28,"XGB",0.6,0.6
20,29,"LOGIS",0.45,0.35
20,29,"SVM",0.55,0.6
20,29,"KNN",0.4,0
20,29,"RF",0.5,0.4
20,29,"XGB",0.85,0.8
20,30,"LOGIS",0.85,0.9
20,30,"SVM",0.85,0.9
20,30,"KNN",0.3,0
20,30,"RF",0.85,0.9
20,30,"XGB",0.65,0.65
30,1,"LOGIS",0.733333333333333,0.844444444444444
30,1,"SVM",0.733333333333333,0.911111111111111
30,1,"KNN",0.633333333333333,0
30,1,"RF",0.733333333333333,0.844444444444444
30,1,"XGB",0.766666666666667,0.866666666666667
30,2,"LOGIS",0.733333333333333,0.733333333333333
30,2,"SVM",0.8,0.8
30,2,"KNN",0.633333333333333,0
30,2,"RF",0.733333333333333,0.8
30,2,"XGB",0.7,0.811111111111111
30,3,"LOGIS",0.7,0.866666666666667
30,3,"SVM",0.733333333333333,0.866666666666667
30,3,"KNN",0.6,0
30,3,"RF",0.6,0.811111111111111
30,3,"XGB",0.666666666666667,0.711111111111111
30,4,"LOGIS",0.833333333333333,0.888888888888889
30,4,"SVM",0.766666666666667,0.911111111111111
30,4,"KNN",0.7,0
30,4,"RF",0.766666666666667,0.866666666666667
30,4,"XGB",0.666666666666667,0.777777777777778
30,5,"LOGIS",0.666666666666667,0.666666666666667
30,5,"SVM",0.7,0.733333333333333
30,5,"KNN",0.7,0
30,5,"RF",0.666666666666667,0.688888888888889
30,5,"XGB",0.666666666666667,0.755555555555556
30,6,"LOGIS",0.933333333333333,0.933333333333333
30,6,"SVM",0.966666666666667,0.977777777777778
30,6,"KNN",0.8,0
30,6,"RF",0.866666666666667,0.955555555555556
30,6,"XGB",0.766666666666667,0.866666666666667
30,7,"LOGIS",0.7,0.755555555555556
30,7,"SVM",0.666666666666667,0.666666666666667
30,7,"KNN",0.6,0
30,7,"RF",0.633333333333333,0.755555555555556
30,7,"XGB",0.733333333333333,0.822222222222222
30,8,"LOGIS",0.833333333333333,0.822222222222222
30,8,"SVM",0.8,0.822222222222222
30,8,"KNN",0.7,0
30,8,"RF",0.8,0.777777777777778
30,8,"XGB",0.733333333333333,0.8
30,9,"LOGIS",0.6,0.577777777777778
30,9,"SVM",0.366666666666667,0.466666666666667
30,9,"KNN",0.433333333333333,0
30,9,"RF",0.633333333333333,0.611111111111111
30,9,"XGB",0.7,0.666666666666667
30,10,"LOGIS",0.733333333333333,0.8
30,10,"SVM",0.733333333333333,0.822222222222222
30,10,"KNN",0.666666666666667,0
30,10,"RF",0.766666666666667,0.777777777777778
30,10,"XGB",0.8,0.777777777777778
30,11,"LOGIS",0.7,0.755555555555556
30,11,"SVM",0.8,0.844444444444444
30,11,"KNN",0.666666666666667,0
30,11,"RF",0.733333333333333,0.777777777777778
30,11,"XGB",0.833333333333333,0.911111111111111
30,12,"LOGIS",0.9,0.933333333333333
30,12,"SVM",0.833333333333333,0.933333333333333
30,12,"KNN",0.6,0
30,12,"RF",0.933333333333333,1
30,12,"XGB",0.466666666666667,0.555555555555556
30,13,"LOGIS",0.833333333333333,0.911111111111111
30,13,"SVM",0.8,0.911111111111111
30,13,"KNN",0.766666666666667,0
30,13,"RF",0.8,0.944444444444444
30,13,"XGB",0.8,0.877777777777778
30,14,"LOGIS",0.766666666666667,0.822222222222222
30,14,"SVM",0.766666666666667,0.822222222222222
30,14,"KNN",0.666666666666667,0
30,14,"RF",0.766666666666667,0.822222222222222
30,14,"XGB",0.7,0.777777777777778
30,15,"LOGIS",0.8,0.844444444444444
30,15,"SVM",0.766666666666667,0.844444444444444
30,15,"KNN",0.8,0
30,15,"RF",0.766666666666667,0.822222222222222
30,15,"XGB",0.533333333333333,0.733333333333333
30,16,"LOGIS",0.6,0.688888888888889
30,16,"SVM",0.6,0.8
30,16,"KNN",0.566666666666667,0
30,16,"RF",0.666666666666667,0.733333333333333
30,16,"XGB",0.8,0.866666666666667
30,17,"LOGIS",0.733333333333333,0.8
30,17,"SVM",0.7,0.8
30,17,"KNN",0.6,0
30,17,"RF",0.733333333333333,0.777777777777778
30,17,"XGB",0.733333333333333,0.8
30,18,"LOGIS",0.9,0.866666666666667
30,18,"SVM",0.9,0.844444444444444
30,18,"KNN",0.833333333333333,0
30,18,"RF",0.9,0.888888888888889
30,18,"XGB",0.566666666666667,0.688888888888889
30,19,"LOGIS",0.766666666666667,0.888888888888889
30,19,"SVM",0.8,0.822222222222222
30,19,"KNN",0.5,0
30,19,"RF",0.733333333333333,0.866666666666667
30,19,"XGB",0.666666666666667,0.8
30,20,"LOGIS",0.733333333333333,0.755555555555556
30,20,"SVM",0.6,0.577777777777778
30,20,"KNN",0.7,0
30,20,"RF",0.6,0.711111111111111
30,20,"XGB",0.766666666666667,0.888888888888889
30,21,"LOGIS",0.8,0.866666666666667
30,21,"SVM",0.8,0.888888888888889
30,21,"KNN",0.733333333333333,0
30,21,"RF",0.766666666666667,0.822222222222222
30,21,"XGB",0.866666666666667,0.888888888888889
30,22,"LOGIS",0.733333333333333,0.866666666666667
30,22,"SVM",0.733333333333333,0.866666666666667
30,22,"KNN",0.733333333333333,0
30,22,"RF",0.766666666666667,0.866666666666667
30,22,"XGB",0.7,0.844444444444444
30,23,"LOGIS",0.833333333333333,0.888888888888889
30,23,"SVM",0.833333333333333,0.911111111111111
30,23,"KNN",0.7,0
30,23,"RF",0.833333333333333,0.933333333333333
30,23,"XGB",0.666666666666667,0.666666666666667
30,24,"LOGIS",0.766666666666667,0.822222222222222
30,24,"SVM",0.8,0.866666666666667
30,24,"KNN",0.633333333333333,0
30,24,"RF",0.7,0.8
30,24,"XGB",0.6,0.622222222222222
30,25,"LOGIS",0.733333333333333,0.844444444444444
30,25,"SVM",0.566666666666667,0.6
30,25,"KNN",0.6,0
30,25,"RF",0.6,0.733333333333333
30,25,"XGB",0.766666666666667,0.777777777777778
30,26,"LOGIS",0.766666666666667,0.888888888888889
30,26,"SVM",0.733333333333333,0.866666666666667
30,26,"KNN",0.866666666666667,0
30,26,"RF",0.766666666666667,0.822222222222222
30,26,"XGB",0.866666666666667,0.911111111111111
30,27,"LOGIS",0.766666666666667,0.8
30,27,"SVM",0.733333333333333,0.777777777777778
30,27,"KNN",0.6,0
30,27,"RF",0.733333333333333,0.777777777777778
30,27,"XGB",0.8,0.866666666666667
30,28,"LOGIS",0.8,0.888888888888889
30,28,"SVM",0.766666666666667,0.822222222222222
30,28,"KNN",0.766666666666667,0
30,28,"RF",0.833333333333333,0.866666666666667
30,28,"XGB",0.733333333333333,0.855555555555556
30,29,"LOGIS",0.6,0.644444444444444
30,29,"SVM",0.566666666666667,0.511111111111111
30,29,"KNN",0.533333333333333,0
30,29,"RF",0.533333333333333,0.6
30,29,"XGB",0.7,0.822222222222222
30,30,"LOGIS",0.566666666666667,0.633333333333333
30,30,"SVM",0.633333333333333,0.688888888888889
30,30,"KNN",0.5,0
30,30,"RF",0.666666666666667,0.633333333333333
30,30,"XGB",0.833333333333333,0.888888888888889
40,1,"LOGIS",0.775,0.8375
40,1,"SVM",0.65,0.75
40,1,"KNN",0.625,0
40,1,"RF",0.7,0.7125
40,1,"XGB",0.75,0.8375
40,2,"LOGIS",0.625,0.6
40,2,"SVM",0.475,0.475
40,2,"KNN",0.575,0
40,2,"RF",0.575,0.59375
40,2,"XGB",0.85,0.85
40,3,"LOGIS",0.775,0.8
40,3,"SVM",0.825,0.85
40,3,"KNN",0.725,0
40,3,"RF",0.825,0.8375
40,3,"XGB",0.725,0.7625
