"MeanDecreaseGini","genes"
0.233943460587309,"hsa.mir.133a.1"
0.246891223598064,"hsa.mir.133a.2"
0.137884615384615,"hsa.mir.133b"
0.249073757416072,"hsa.mir.134"
0.494896336713093,"hsa.mir.1343"
0.181032109445011,"hsa.mir.135a.1"
0.153628160264773,"hsa.mir.135a.2"
0.298129455336062,"hsa.mir.135b"
0.25400648162041,"hsa.mir.136"
0.0722729353026836,"hsa.mir.137"
0.155177865612648,"hsa.mir.138.1"
0.0419133771929825,"hsa.mir.138.2"
1.06012750686389,"hsa.mir.139"
1.76865074196269,"hsa.mir.140"
0.273867941414853,"hsa.mir.141"
0.386286563286973,"hsa.mir.142"
0.744148804386874,"hsa.mir.143"
0.343163833407252,"hsa.mir.144"
0.169229304793343,"hsa.mir.145"
0.370831036451021,"hsa.mir.1468"
0,"hsa.mir.1469"
0.46338353087042,"hsa.mir.146a"
0.597333792699188,"hsa.mir.146b"
0,"hsa.mir.1470"
0,"hsa.mir.1471"
0.01776955602537,"hsa.mir.147a"
0.597258283990467,"hsa.mir.147b"
0.461961394969758,"hsa.mir.148a"
0.434601937498308,"hsa.mir.148b"
0.0780375462718139,"hsa.mir.149"
0.313149847901641,"hsa.mir.150"
0.128791905319497,"hsa.mir.151a"
0.0900187969924812,"hsa.mir.151b"
0.425610306985175,"hsa.mir.152"
0.157391444713479,"hsa.mir.153.1"
0.355697688920985,"hsa.mir.153.2"
0.0619047619047619,"hsa.mir.1537"
0.0328073746998217,"hsa.mir.1538"
0,"hsa.mir.1539"
0.239291982180296,"hsa.mir.154"
0.196987325811907,"hsa.mir.155"
0,"hsa.mir.1587"
1.24722144722927,"hsa.mir.15a"
0.290581596848827,"hsa.mir.15b"
0.523306212667425,"hsa.mir.16.1"
0.444153524836184,"hsa.mir.16.2"
0.171398621680959,"hsa.mir.17"
1.78949399630263,"hsa.mir.181a.1"
1.15357564630729,"hsa.mir.181a.2"
1.22167212614126,"hsa.mir.181b.1"
1.47716893429983,"hsa.mir.181b.2"
0.36200103208317,"hsa.mir.181c"
0.673101276200637,"hsa.mir.181d"
1.18612174201329,"hsa.mir.182"
0,"hsa.mir.1825"
0,"hsa.mir.1827"
0.251025433834574,"hsa.mir.183"
1.51663439198357,"hsa.mir.184"
0.653611469109013,"hsa.mir.185"
0.520177559412598,"hsa.mir.186"
0.486486830088747,"hsa.mir.187"
0.416626831548405,"hsa.mir.188"
0.338331064193389,"hsa.mir.18a"
0.0773062558356676,"hsa.mir.18b"
0.0501070133963751,"hsa.mir.1908"
0.0455211408127333,"hsa.mir.1909"
1.0933581555129,"hsa.mir.190a"
1.57536671307779,"hsa.mir.190b"
0.237524513246778,"hsa.mir.191"
0.0757142857142857,"hsa.mir.1910"
0.157089381431871,"hsa.mir.1911"
0.160527672125681,"hsa.mir.1912"
0.0162021799338873,"hsa.mir.1913"
0.0133333333333333,"hsa.mir.1914"
0.00261022927689595,"hsa.mir.1915"
0.249405266955267,"hsa.mir.192"
0.512416897618139,"hsa.mir.193a"
0.451898200108162,"hsa.mir.193b"
0.580237507223213,"hsa.mir.194.1"
0.414203940266263,"hsa.mir.194.2"
0.681233821249062,"hsa.mir.195"
0.274646754803759,"hsa.mir.196a.1"
0.743787410799526,"hsa.mir.196a.2"
0.868614727018422,"hsa.mir.196b"
1.10795646375359,"hsa.mir.197"
0,"hsa.mir.1972.1"
0,"hsa.mir.1972.2"
0,"hsa.mir.1973"
0.172786434484054,"hsa.mir.1976"
0.098847086904309,"hsa.mir.198"
0.380549607311253,"hsa.mir.199a.1"
0.692739352400511,"hsa.mir.199a.2"
0.377733647015594,"hsa.mir.199b"
0.37298069687481,"hsa.mir.19a"
0.411621594010199,"hsa.mir.19b.1"
0.417039964618387,"hsa.mir.19b.2"
0.354384929426036,"hsa.mir.200a"
0.593247144319678,"hsa.mir.200b"
0.495198796672923,"hsa.mir.200c"
0.541837254869501,"hsa.mir.202"
0.586974441591317,"hsa.mir.203a"
0.311669946228894,"hsa.mir.203b"
0.679739522393367,"hsa.mir.204"
0.579297081589488,"hsa.mir.205"
0,"hsa.mir.2052"
0,"hsa.mir.2053"
0,"hsa.mir.2054"
0.313246816246548,"hsa.mir.206"
0,"hsa.mir.208a"
0.0193683505068276,"hsa.mir.208b"
0.402838610349675,"hsa.mir.20a"
0.335120314326196,"hsa.mir.20b"
0.734203165462579,"hsa.mir.21"
1.44224312319489,"hsa.mir.210"
0.136442232520499,"hsa.mir.211"
0.401197404241334,"hsa.mir.2110"
0,"hsa.mir.2113"
0.394637901757117,"hsa.mir.2114"
0.230544871984823,"hsa.mir.2115"
0.11301945322987,"hsa.mir.2116"
0.0816390993916237,"hsa.mir.2117"
0.180468090301276,"hsa.mir.212"
0.457867464851879,"hsa.mir.214"
0.15323103115434,"hsa.mir.215"
0.357228803711548,"hsa.mir.216a"
0.015,"hsa.mir.216b"
0.417600652773696,"hsa.mir.217"
0.882862747515083,"hsa.mir.218.1"
0.565791474119259,"hsa.mir.218.2"
0.267124172191907,"hsa.mir.219a.1"
0.281701474098244,"hsa.mir.219a.2"
0.160291449527118,"hsa.mir.219b"
0.191340571823933,"hsa.mir.22"
0.166891261440495,"hsa.mir.221"
0.463812892408143,"hsa.mir.222"
0.424209647989166,"hsa.mir.223"
1.06874049892798,"hsa.mir.224"
0.0362549019607843,"hsa.mir.2276"
0.187951336898396,"hsa.mir.2277"
0,"hsa.mir.2278"
0.422776093502843,"hsa.mir.2355"
0,"hsa.mir.2392"
0.944767312667396,"hsa.mir.23a"
0.24719584513001,"hsa.mir.23b"
0.0578347931392117,"hsa.mir.23c"
0.307164918549699,"hsa.mir.24.1"
0.599212920339304,"hsa.mir.24.2"
0.00644688644688642,"hsa.mir.2467"
0.670263427443741,"hsa.mir.25"
0.11751189850913,"hsa.mir.2681"
0.0310303030303031,"hsa.mir.2682"
1.21440732747905,"hsa.mir.26a.1"
1.23104489612193,"hsa.mir.26a.2"
0.857578695282724,"hsa.mir.26b"
0.315888948425234,"hsa.mir.27a"
0.643168626471568,"hsa.mir.27b"
0.506771185960355,"hsa.mir.28"
0,"hsa.mir.2861"
0,"hsa.mir.2909"
0.205482197590651,"hsa.mir.296"
0,"hsa.mir.297"
0,"hsa.mir.298"
0.241072836670695,"hsa.mir.299"
2.87195411302787,"hsa.mir.29a"
0.361661810994968,"hsa.mir.29b.1"
0.384602954362009,"hsa.mir.29b.2"
2.99163792357779,"hsa.mir.29c"
0,"hsa.mir.300"
0.756312298779647,"hsa.mir.301a"
1.76999309797342,"hsa.mir.301b"
0.0380782388814518,"hsa.mir.302a"
0,"hsa.mir.302b"
0,"hsa.mir.302c"
0,"hsa.mir.302d"
0,"hsa.mir.302e"
0,"hsa.mir.302f"
0.0905294592413237,"hsa.mir.3064"
0.682253843351229,"hsa.mir.3065"
0.555598042286341,"hsa.mir.3074"
1.81224011792532,"hsa.mir.30a"
0.267797175803146,"hsa.mir.30b"
0.971936045672585,"hsa.mir.30c.1"
0.630267456684677,"hsa.mir.30c.2"
0.250049663195731,"hsa.mir.30d"
0.499318256986775,"hsa.mir.30e"
0.259967553492678,"hsa.mir.31"
0.0183025210084034,"hsa.mir.3115"
0.0317909140334933,"hsa.mir.3116.1"
0,"hsa.mir.3116.2"
0.0402651819154629,"hsa.mir.3117"
0,"hsa.mir.3118.1"
0,"hsa.mir.3118.2"
0,"hsa.mir.3118.3"
0,"hsa.mir.3118.4"
0,"hsa.mir.3119.1"
0,"hsa.mir.3119.2"
0,"hsa.mir.3120"
0,"hsa.mir.3121"
0,"hsa.mir.3122"
0,"hsa.mir.3123"
0.0772245479647279,"hsa.mir.3124"
0.0182358463252297,"hsa.mir.3125"
0.0655193607144956,"hsa.mir.3126"
0.540222298095809,"hsa.mir.3127"
0.015,"hsa.mir.3128"
0.0207564102564102,"hsa.mir.3129"
0.260637465577036,"hsa.mir.3130.1"
0.196818160475906,"hsa.mir.3130.2"
0,"hsa.mir.3131"
0.0175,"hsa.mir.3132"
0.0335,"hsa.mir.3133"
0,"hsa.mir.3134"
0,"hsa.mir.3135a"
0,"hsa.mir.3135b"
0.303121262321193,"hsa.mir.3136"
0,"hsa.mir.3137"
0.02,"hsa.mir.3138"
0,"hsa.mir.3139"
0.197689935613653,"hsa.mir.3140"
0.0340624197450768,"hsa.mir.3141"
0,"hsa.mir.3142"
0.0768868258178603,"hsa.mir.3143"
0.0541319129939558,"hsa.mir.3144"
0.0171428571428571,"hsa.mir.3145"
0.0873819087876114,"hsa.mir.3146"
0,"hsa.mir.3147"
0.0514438055924124,"hsa.mir.3148"
0.115497249923544,"hsa.mir.3149"
0.102518714003524,"hsa.mir.3150a"
0.265143637195292,"hsa.mir.3150b"
0.0184615384615385,"hsa.mir.3151"
0.0496666666666667,"hsa.mir.3152"
0,"hsa.mir.3153"
0.0637293311973619,"hsa.mir.3154"
0.0375,"hsa.mir.3155a"
0,"hsa.mir.3155b"
0.353261692793112,"hsa.mir.3156.1"
0.127705409062408,"hsa.mir.3156.2"
0.18600390964504,"hsa.mir.3156.3"
0.195773843834989,"hsa.mir.3157"
0.198490571348156,"hsa.mir.3158.1"
0.0308571428571428,"hsa.mir.3158.2"
0,"hsa.mir.3159"
0.0369675047438331,"hsa.mir.3160.1"
0,"hsa.mir.3160.2"
0.0228777874387734,"hsa.mir.3161"
0,"hsa.mir.3162"
0.0177777777777778,"hsa.mir.3163"
0.0665413161801089,"hsa.mir.3164"
0.00152941509913546,"hsa.mir.3165"
0.0653968253968254,"hsa.mir.3166"
0.0481349445357315,"hsa.mir.3167"
0.0194594594594594,"hsa.mir.3168"
0,"hsa.mir.3169"
0.377105618401885,"hsa.mir.3170"
0,"hsa.mir.3171"
0.0288563218390805,"hsa.mir.3173"
0.024,"hsa.mir.3174"
0.0188751814223512,"hsa.mir.3175"
0.050952380952381,"hsa.mir.3176"
0.0520845642223555,"hsa.mir.3177"
0.018,"hsa.mir.3178"
0,"hsa.mir.3179.1"
0,"hsa.mir.3179.2"
0,"hsa.mir.3179.3"
0,"hsa.mir.3179.4"
0,"hsa.mir.3180.1"
0,"hsa.mir.3180.2"
0,"hsa.mir.3180.3"
0.0143458143009491,"hsa.mir.3180.4"
0,"hsa.mir.3180.5"
0,"hsa.mir.3181"
0.0133392188336009,"hsa.mir.3182"
0.0331428571428571,"hsa.mir.3183"
0,"hsa.mir.3184"
0,"hsa.mir.3185"
0.0184352773826458,"hsa.mir.3186"
0.0389974937343358,"hsa.mir.3187"
0.045124183006536,"hsa.mir.3188"
0.0327272727272727,"hsa.mir.3189"
0.0863246461332847,"hsa.mir.3190"
0.244284919843644,"hsa.mir.3191"
0.0468077325738886,"hsa.mir.3192"
0.015,"hsa.mir.3193"
0.0438979824895318,"hsa.mir.3194"
0.104865973237137,"hsa.mir.3195"
0,"hsa.mir.3196"
0,"hsa.mir.3197"
0.0815346792124391,"hsa.mir.3198.1"
0.064,"hsa.mir.3198.2"
0.165636303197509,"hsa.mir.3199.1"
0.071077363550498,"hsa.mir.3199.2"
0.377744400716831,"hsa.mir.32"
0.580872562813603,"hsa.mir.3200"
0,"hsa.mir.3201"
0.0194736842105263,"hsa.mir.3202.1"
0.0814285714285714,"hsa.mir.3202.2"
1.32033258112152,"hsa.mir.320a"
0.13468173043219,"hsa.mir.320b.1"
0.212760604646062,"hsa.mir.320b.2"
0.227218736404133,"hsa.mir.320c.1"
0.2186456907872,"hsa.mir.320c.2"
0.24259128655848,"hsa.mir.320d.1"
0.241706697859131,"hsa.mir.320d.2"
