"MeanDecreaseGini","genes"
0.154816342622177,"ENSG00000002726.21"
0.25235941021433,"ENSG00000003989.18"
1.3654499381792,"ENSG00000004776.13"
0.0607450980392157,"ENSG00000004799.8"
0.262446640019244,"ENSG00000004838.14"
0.598151501412171,"ENSG00000005102.14"
0.561212191845802,"ENSG00000005513.10"
0.177697166398933,"ENSG00000006071.15"
0.0528206792126325,"ENSG00000006555.11"
0.259883372910905,"ENSG00000007038.11"
0.0729196025293586,"ENSG00000007062.12"
0.325662084290501,"ENSG00000007216.15"
2.16451834156941,"ENSG00000008196.13"
0.0421428571428571,"ENSG00000009950.16"
0.233149616858149,"ENSG00000012223.13"
0.242085974842908,"ENSG00000016402.13"
0.447070138772173,"ENSG00000018625.15"
0.369839692207434,"ENSG00000019102.12"
0.0499420546558705,"ENSG00000019169.10"
0.313006365087375,"ENSG00000019505.8"
0.0625337301587301,"ENSG00000022556.16"
0.0193103448275862,"ENSG00000026559.14"
0.36082429300787,"ENSG00000029559.7"
0.115993868854027,"ENSG00000039139.9"
0.0828244663382593,"ENSG00000039537.14"
0.273065951174809,"ENSG00000043039.7"
0.100353448116606,"ENSG00000047457.14"
0.0831698905469762,"ENSG00000047597.7"
0.0958027979553404,"ENSG00000048462.11"
0.167139279600381,"ENSG00000048540.15"
0.806387655009021,"ENSG00000050438.17"
0.346136058908194,"ENSG00000050628.20"
0.432110335037548,"ENSG00000052850.8"
0.272717738375512,"ENSG00000053108.17"
0.113215562439172,"ENSG00000054938.16"
0.153495590828924,"ENSG00000055118.16"
1.926930875354,"ENSG00000057593.14"
0.134217999593,"ENSG00000058085.15"
0.164957935365228,"ENSG00000058404.20"
0.394921229559101,"ENSG00000060718.22"
0.178353110548021,"ENSG00000062038.14"
0.03,"ENSG00000064195.7"
0.19480054488773,"ENSG00000064300.9"
0.0197101449275362,"ENSG00000064787.13"
0.282997103958537,"ENSG00000064886.14"
0.0832992091748014,"ENSG00000065618.21"
0.119832522142691,"ENSG00000067715.14"
0.149061253561254,"ENSG00000068078.20"
0.274183721785098,"ENSG00000069011.16"
0.466667557922365,"ENSG00000069188.17"
0.25577317842425,"ENSG00000069482.7"
0.1736623106185,"ENSG00000069535.14"
0.146477314955576,"ENSG00000069812.11"
0.755837090568999,"ENSG00000070193.5"
0.0408756226736028,"ENSG00000070526.15"
0.0662739872841743,"ENSG00000071909.19"
0.218735295820772,"ENSG00000073282.14"
0.185653815712749,"ENSG00000073756.12"
0.357284953687207,"ENSG00000074211.14"
0.241981084022068,"ENSG00000074410.14"
0.130063932002956,"ENSG00000075461.6"
0.408628888682401,"ENSG00000075886.11"
